normalized,n,GLM,y,no_intercept,intercept,one_intercept,two_intercept,two_b,two_x,too_many_x,same_x,one_x,error,proper_subscripts,extra_b,veto
yi = b0 + b1xi + b2x1i + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + b2x2,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,
yi = b0 + b1xi + b2x2 + b3x3 + e,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,
yi = b0 + b1xi + b2xi + 1 + ei,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1
yi = b0 + b1xi + b2xi2,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,
yi = b0 + b1xi + b2xi2 + e,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + b1xi + b2xii + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + b1xi + bi1xi1 + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + c0 + c1xi + other stuff,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + c0 + c1zi + ei,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + c0 + czi + ei,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + c1 + c1xi + ei,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + other stuff(error),1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,
yi = b0 + b1xi + zo + z1wi + ei,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b0 + b1xi1 + b2xi2 = ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1xi2 + b2xi1 + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b2 + b1xi + ei,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,
yi = b0 + b3 + (b1 + b2)x1ixi + ei,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b0 + bi  xi + ei,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,
yi = b0 + bi xi + bi2 xi2 + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + bix1 + ei,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,
yi = b0 + bix1i + b2x2i + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + bixi + b2 + x2i + ei,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,
yi = b0 + bixi + b2x2i + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + bixi + b2xi + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + bixi + ei,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,
yi = b0 + c0 + c1 + ei,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,
yi = b0 + x1b1 + x2b2 + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + xib1 + xib2 + ei,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,
yi = b0(1) + b1(1)xi(1) + b0(2) + b1(2)xi(2) + ei,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b01 + b1xi + b02 + b2xi + ei,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,
yi = b01 + xi1 + b02 + xi2 + ei,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,
yi = b0c + b0s + b1xic + b1xis + ei,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,
yi = b0c + b1cxic + b0s + b1sxis + ei,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b0xi + b1xi + b2xi + ei,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,
yi = b0xi + b1zi + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b1 + b0xi + ei,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,
yi = b1 + b2xi + ei,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,
yi = b1x1i + b2x2i + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
zi = b0 + b1xi + b2yi + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
nonsense,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
